ALFA,,Cl,,Cd,,,,,naca 0012; Re=6e06; M=0.15
-10,,-1.08460972138755,,0.0111800418364302
-8,,-0.879481516259348,,0.00945317519602997
-6,,-0.620652560763888,,0.00752332375293503
-5,,-0.538763,,0.00718750270445078
-4,,-0.407686748798076,,0.00677705475630336
-2,,-0.216233757345085,,0.00603078575967168
0,,0,,0.00580690506068218
2,,0.216233757345085,,0.00603078575967168
4,,0.407686748798076,,0.00677705475630336
5,,0.538763,,0.00718750270445078,,,,,
6,,0.620652560763888,,0.00752332375293503
8,,0.879481516259348,,0.00945317519602997
10,,1.08460972138755,,0.0111800418364302
12,,1.24287467865251,,0.0131203412276726
14,,1.42065245643028
16,,1.56324220002003
18,,1.17449861027644
20,,0.880481516259348
22
24
